year,country,total_grapevine_area_ha,total_winegrape_area_ha,grape_yield_tonnes_per_ha,total_grape_production_kt
2016,India,120000.0,2700.0,21.2,2590.0
2016,Israel,8000.0,5000.0,8.2,66.0
2016,Italy,673000.0,604600.0,12.3,8202.0
2016,Japan,17000.0,3900.0,10.5,179.0
2016,Kazakhstan,15000.0,6900.0,5.1,75.0
2016,"Korea, Rep.",15000.0,5400.0,14.9,229.0
2016,Lebanon,8000.0,4000.0,8.3,70.0
2016,Luxembourg,1000.0,1300.0,8.5,11.0
2016,Mexico,28000.0,5500.0,13.0,337.0
2016,Moldova,129000.0,82600.0,4.8,616.0
2016,Morocco,45000.0,17600.0,7.9,365.0
2016,Myanmar,,,,
2016,New Zealand,40000.0,35500.0,10.6,436.0
2016,North Macedonia,25000.0,24800.0,14.5,333.0
2016,Norway,,,,
2016,Peru,28000.0,3800.0,24.7,690.0
2016,Portugal,183000.0,182600.0,4.2,774.0
2016,Romania,183000.0,182800.0,4.0,737.0
2016,Russia,63000.0,50800.0,8.7,601.0
2016,Serbia,22000.0,22000.0,6.6,146.0
2016,Slovakia,9000.0,7700.0,4.3,38.0
2016,Slovenia,16000.0,16000.0,5.9,95.0
2016,South Africa,120000.0,95800.0,16.3,1966.0
2016,Spain,941000.0,883600.0,6.5,6103.0
2016,Switzerland,15000.0,14800.0,9.2,136.0
2016,Taiwan,3000.0,100.0,27.1,80.0
2016,Thailand,5000.0,200.0,17.7,80.0
2016,Tunisia,22000.0,3400.0,6.7,134.0
2016,Turkey,462000.0,13700.0,9.2,4000.0
2016,Ukraine,50000.0,25200.0,8.8,378.0
2016,United Kingdom,2000.0,1800.0,1.1,1.0
2016,United States,414000.0,239600.0,17.1,6983.0
2016,Uruguay,7000.0,6700.0,15.4,105.0
