country,avg_production_hl,avg_consumption_hl,latest_production_hl,latest_consumption_hl,n_years,latest_year,world
Moldova,1820064.5161290322,449033.3333333333,1785000.0,302000.0,31,2025,Old World
Monaco,0.0,,0.0,,28,2022,
Mongolia,2400.0,12766.666666666666,3000.0,19000.0,30,2024,
Montenegro,125263.15789473684,81263.15789473684,101000.0,48000.0,19,2024,
Montserrat,0.0,133.33333333333334,0.0,0.0,30,2024,
Morocco,359866.6666666667,404000.0,431000.0,607000.0,30,2024,Old World
Mozambique,0.0,70800.0,0.0,67000.0,30,2024,
Myanmar,0.0,7233.333333333333,0.0,2000.0,30,2024,New World
Namibia,0.0,196466.66666666666,0.0,382000.0,31,2025,
Nauru,0.0,0.0,0.0,0.0,30,2024,
Nepal,0.0,5000.0,0.0,7000.0,30,2024,
Netherlands,6937.5,3261774.193548387,12000.0,2930000.0,31,2025,
Netherlands Antilles,0.0,12066.666666666666,0.0,0.0,30,2024,
New Caledonia,0.0,54366.666666666664,0.0,44000.0,30,2024,
New Zealand,1957419.3548387096,770032.2580645161,3740000.0,763000.0,31,2025,New World
Nicaragua,0.0,9000.0,0.0,11000.0,30,2024,
Niger,0.0,6800.0,0.0,9000.0,30,2024,
Nigeria,0.0,162466.66666666666,0.0,275000.0,30,2024,
Niue,0.0,0.0,0.0,0.0,30,2024,
Norfolk Island,0.0,,0.0,,28,2022,
Norway,0.0,680933.3333333334,0.0,872000.0,30,2024,New World
Oman,0.0,,0.0,,28,2022,
Pakistan,0.0,366.6666666666667,0.0,0.0,30,2024,
Palau,0.0,,0.0,,28,2022,
Panama,1233.3333333333333,23333.333333333332,1000.0,9000.0,30,2024,
Papua New Guinea,0.0,12800.0,0.0,28000.0,30,2024,
Paraguay,33387.096774193546,255800.0,18000.0,252000.0,31,2025,
People's Republic of China,10063096.774193548,12723419.35483871,2161000.0,4808000.0,31,2025,
Peru,560290.3225806452,630033.3333333334,778000.0,915000.0,31,2025,New World
Philippines,0.0,109733.33333333333,0.0,184000.0,30,2024,
Poland,4000.0,892290.3225806452,5000.0,1123000.0,31,2025,
Portugal,6713193.548387097,4967225.806451613,5956000.0,5629000.0,31,2025,Old World
Qatar,0.0,,0.0,,28,2022,
Republic of North Macedonia,890433.3333333334,190766.66666666666,867000.0,203000.0,30,2024,
Republic of Türkiye,470100.0,459766.6666666667,648000.0,694000.0,30,2024,
Reunion island,0.0,27666.666666666668,0.0,0.0,30,2024,
Romania,4752258.064516129,4570225.806451613,3265000.0,3500000.0,31,2025,Old World
Russia,4605161.29032258,8592451.612903226,5721000.0,7993000.0,31,2025,Old World
Rwanda,0.0,6666.666666666667,0.0,17000.0,30,2024,
Saint Helena,0.0,150.0,0.0,0.0,30,2024,
Saint Kitts and Nevis,0.0,1966.6666666666667,0.0,2000.0,30,2024,
Saint Lucia,0.0,11500.0,0.0,22000.0,30,2024,
Saint Pierre And Miquelon,0.0,1900.0,0.0,2000.0,30,2024,
Saint Vincent and the Grenadines,0.0,1900.0,0.0,3000.0,30,2024,
Samoa,0.0,466.6666666666667,0.0,1000.0,30,2024,
San Marino,0.0,,0.0,,28,2022,
Sao Tome and Principe,0.0,31366.666666666668,0.0,32000.0,30,2024,
Saudi Arabia,0.0,0.0,0.0,0.0,30,2024,
Senegal,0.0,64400.0,0.0,57000.0,30,2024,
Serbia,1021600.0,1228421.0526315789,508000.0,653000.0,20,2025,Old World
Serbia And Montenegro,0.0,1562272.7272727273,0.0,952000.0,28,2022,
Seychelles,0.0,11333.333333333334,0.0,16000.0,30,2024,
Sierra Leone,0.0,1933.3333333333333,0.0,3000.0,30,2024,
Singapore,0.0,110733.33333333333,0.0,159000.0,30,2024,
Slovakia,368451.6129032258,630548.3870967742,318000.0,700000.0,31,2025,Old World
Slovenia,578935.4838709678,721451.6129032258,485000.0,747000.0,31,2025,Old World
Solomon Islands,0.0,800.0,0.0,1000.0,30,2024,
Somalia,0.0,0.0,0.0,0.0,30,2024,
South Africa,9353129.032258065,3547580.64516129,10204000.0,3953000.0,31,2025,New World
South Sudan,0.0,,0.0,,28,2022,
Spain,35397483.87096774,11717000.0,28679000.0,9356000.0,31,2025,Old World
Sri Lanka,0.0,6633.333333333333,0.0,12000.0,30,2024,
State of Palestine,0.0,233.33333333333334,0.0,0.0,30,2024,
Sudan,0.0,1166.6666666666667,0.0,3000.0,30,2024,
Suriname,0.0,4400.0,0.0,8000.0,30,2024,
Sweden,0.0,1804290.322580645,0.0,1837000.0,31,2025,
Switzerland,1022193.5483870967,2810193.5483870967,820000.0,2316000.0,31,2025,Old World
Syrian Arab Republic,1466.6666666666667,2566.6666666666665,0.0,1000.0,30,2024,
Tajikistan,26300.0,27533.333333333332,2000.0,4000.0,30,2024,
"Tanzania, the United Republic of",0.0,28333.333333333332,0.0,29000.0,31,2025,
Thailand,5200.0,43933.333333333336,5000.0,14000.0,30,2024,New World
Timor-Leste,0.0,1766.6666666666667,0.0,0.0,30,2024,
Togo,0.0,37200.0,0.0,0.0,30,2024,
Tonga,0.0,700.0,0.0,1000.0,30,2024,
Trinidad and Tobago,0.0,10733.333333333334,0.0,11000.0,30,2024,
Tunisia,306933.3333333333,248900.0,319000.0,318000.0,30,2024,Old World
Turkmenistan,421700.0,339066.6666666667,516000.0,493000.0,30,2024,
Tuvalu,0.0,166.66666666666666,0.0,0.0,30,2024,
Uganda,0.0,10300.0,0.0,15000.0,30,2024,
Ukraine,1713733.3333333333,1604935.4838709678,734000.0,1183000.0,31,2025,Old World
United Arab Emirates,0.0,,0.0,,28,2022,
United Kingdom,37322.58064516129,11846548.387096774,12000.0,12324000.0,31,2025,New World
United States of America,22445806.451612905,28301548.387096774,20000000.0,31909000.0,31,2025,
Uruguay,806451.6129032258,752000.0,622000.0,361000.0,31,2025,New World
Uzbekistan,339933.3333333333,283333.3333333333,188000.0,126000.0,30,2024,
Vanuatu,0.0,4066.6666666666665,0.0,6000.0,30,2024,
Venezuela,0.0,127733.33333333333,0.0,24000.0,30,2024,
Vietnam,0.0,61533.333333333336,0.0,78000.0,30,2024,
Virgin Islands,0.0,,0.0,,28,2022,
Yemen,0.0,0.0,0.0,0.0,30,2024,
Zambia,0.0,15000.0,0.0,28000.0,30,2024,
Zimbabwe,17225.8064516129,29933.333333333332,14000.0,23000.0,31,2025,
