country,year,variety,grape_color,variety_area_ha,grape_yield_tonnes_per_ha,estimated_variety_production_tons,world
Australia,2023,Aglianico,red,7.0,,,New World
Australia,2023,Alicante Henri Bouschet,red,15.0,,,New World
Australia,2023,Arneis,white,35.6137661440298,,,New World
Australia,2023,Barbera,red,116.55653534084558,,,New World
Australia,2023,Cabernet Franc,red,319.3396347165108,,,New World
Australia,2023,Cabernet Sauvignon,red,26739.45312806964,,,New World
Australia,2023,Canada Muscat,white,326.70335483551025,,,New World
Australia,2023,Carignan Bouschet,red,14.0,,,New World
Australia,2023,Cayetana Blanca,white,30.0,,,New World
Australia,2023,Chardonnay,white,21454.42351910472,,,New World
Australia,2023,Chenin Blanc,white,410.66000501811504,,,New World
