title,country,variety,wine_style,points,price,value_score
Charles Smith 2006 Royal City Syrah (Columbia Valley (WA)),US,Syrah,red,100,80.0,1.25
Cayuse 2008 Bionic Frog Syrah (Walla Walla Valley (WA)),US,Syrah,red,100,80.0,1.25
Château Léoville Barton 2010  Saint-Julien,France,Bordeaux-style Red Blend,red,100,150.0,0.6666666666666666
Cardinale 2006 Cabernet Sauvignon (Napa Valley),US,Cabernet Sauvignon,red,100,200.0,0.5
Avignonesi 1995 Occhio di Pernice  (Vin Santo di Montepulciano),Italy,Prugnolo Gentile,other,100,210.0,0.4761904761904761
